sid	time	Pparg	Edn1	Birc5	Sparc	Col1a1	Col8a1	Igf1	Fasl	Bad	Tgfbr2	Rarres1	Lama1	Timp1	Nes	Bcl2l11	Pdgfb	Xiap	Notch3	Cdh1	Timp2	Wisp1	Bak1	Gdf2	Pde4a	Ctgf	Notch1	Tnc	Bax	Cdh2	Pde4b	Fn1	Smad7	Mki67	Prom1	Ch25h	Pde4d	Acta2	Pten	Tgfb2	Mmp10	Col4a3	Act B	Col3a1	Cyp2e1	Rps18	Smad6	Col6a6
0h	0h	1.5908772643	0.5185768243	0.6321118952	0.7720125428	0.475520709	2.0991794162	1.1387865429	1.0710773737	0.6998947592	0.7927794796	1.2615414911	1.8267452538	0.0630736346	1.2841492665	0.9318489653	0.6287155944	1.1255217995	1.351567651	0.6911380236	1.0136339471	2.2624339572	0.6330020312	1.5064084461	0.8687915459	0.5910520845	0.9378997795	0.9600094499	0.6492192316	1.1308931792	1.4443257463	0.5965129183	1.7608583009	0.4812932794	3.3273982678	0.3142995946	1.1024229391	1.9551405083	1.0673219086	0.3958310526	0.0015826853	1.7464586713	0.6885187023	0.8554739754	1.8954740913	0.88189338	1.1260397126	1.0180234312
0h	0h	0.5893369025	0.7932667264	0.4695766343	0.6779940862	0.1803278183	1.0989876974	1.0717215817	0.1814351409	0.6533061273	0.6300030997	1.2104651262	1.8188007963	0.0652075554	1.5510362615	0.7343964553	0.4368818276	1.0320361713	1.1073410724	0.7641992412	0.9029224577	1.7375463605	0.6542206904	1.8413857418	1.1050183386	0.4496078777	0.9921365433	0.5048587294	0.5624733558	1.148294478	1.0709427282	0.659009809	1.0572992405	0.4326474423	0.3734559422	0.4191825512	0.4838014187	1.839422432	1.0274521629	0.4494472864	0.0010152412	2.045501209	0.6096619339	0.4806922705	1.9345611691	0.7498328109	1.1478611814	0.3442479433
0h	0h	0.7895587612	0.2446153337	0.7002646943	0.808088942	0.1863211443	1.1142984863	0.9614829781	1.8838112723	0.7622580126	0.6637939466	1.4589164728	1.8258496732	0.0857595371	1.1754767512	0.6683713726	0.41955434	1.3281123887	1.2364032425	0.8144616985	0.7999117242	1.8093594759	0.8101744811	1.6970317174	0.9525535888	0.576017557	0.8477475014	0.2942376395	0.7373775954	1.0004152379	0.6638438185	0.6856614814	0.9016587533	0.436920357	0.3262984283	0.0923233798	1.0121101798	0.1835786867	0.9779052678	0.2944013847	0.0018057087	1.1053260844	0.885852862	0.4973265698	1.7931666176	1.0338925815	0.8996664427	0.1696240346
0h	0h	0.7518003074	0.5993028831	0.5782087761	0.9062300459	0.653473755	1.3304909655	1.0785919871	1.8853949664	0.6684476092	0.9450319215	1.0819731652	1.735434584	0.0759247426	1.344430764	0.6921848876	0.4635278809	0.8790662804	1.7444272852	0.6292981207	1.0614239954	1.7280566366	0.7334898278	1.7719420299	0.9230660324	0.8156935559	0.7601269157	0.7371807228	0.5570422446	0.9022116372	0.5385510355	0.5900381497	1.0569902423	0.3801351848	0.6774149975	0.1311084019	0.4878829883	1.1137741968	0.8374626068	0.6038365414	0.0008601196	1.8595149176	0.4775871714	1.0281476353	1.6663419784	0.6901575875	0.7040464266	1.2954294138
0h	0h	0.6445762693	0.3840214396	0.6547411482	0.6797671564	0.5434431793	1.1553762194	0.8311228812	0.4497872203	0.7241729571	0.7440180249	1.3154333288	1.5351146294	0.1143221309	0.8752632309	0.5433020464	0.3682392642	0.9201031203	1.0195069743	0.661527991	1.1006729096	1.0386293896	0.6645763557	2.0534721262	1.3661888652	0.6211366733	0.7022758832	0.6566654778	0.5642995744	0.9550591702	0.7674172622	0.6641113272	0.7816625823	0.6126214469	0.3563976873	0.8688468773	0.5743719861	2.7756047768	0.8724147355	0.3991685179	0.001061527	1.5667974896	0.5347980804	0.894721823	1.2176378618	0.759278597	0.6680139313	0.3690054505
6h	6h	0.6209865561	0.9245150563	0.9239635561	0.9469384262	0.3587469128	0.5324850443	0.8797051813	0.9254519632	0.5921169999	0.6568601153	1.9985359691	2.1649664036	0.3611136515	0.4222525605	0.6115202563	0.5960972626	0.7648303611	0.8738528911	0.5650433484	0.9216053436	1.4031256743	0.7270132023	1.9975622653	0.6496996339	1.70058768	0.9553891653	0.3957581244	0.6539473331	0.758455461	0.3019214167	1.2071281338	1.2740959598	0.9643720957	0.230151837	0.9490160221	1.5190871736	2.5211282082	0.7727203333	0.5497646144	0.0053221275	1.7625458832	0.7538441878	0.5100931852	1.1967543104	0.8396167673	1.0201376755	0.4801819413
6h	6h	0.5261985901	0.8173200264	0.2323110536	0.7478310539	0.180328879	0.5652833155	0.9369311132	0.5764401832	0.6198225516	0.6883964728	1.5683834181	1.1560003958	0.2562428171	0.3534897251	0.7711977325	0.5751661797	0.7603858735	0.7353196733	0.4420847	0.5721897519	1.0337833811	0.6882205249	1.7667057639	0.3220441737	1.3352676915	0.570350956	0.2155633415	0.581092409	0.5144696729	0.4795765343	0.9118629508	1.0393649228	0.231068616	0.1641763076	0.8499999874	0.8644537149	0.6549682655	0.6329344825	0.5922841693	0.0022829873	0.1850620892	0.7769359099	0.2855685871	1.0761048413	0.7854863339	0.7740144159	0.5824574659
6h	6h	0.6112560236	0.7623661271	0.4623579757	0.7160268586	0.3231533934	0.3674964371	1.0184098728	1.4301591512	0.7987887657	0.8224374761	2.6095614315	0.996703696	0.3442026987	0.2744313201	0.6522494718	0.5100558904	0.6593943214	0.6105496045	0.5713820583	0.6602755283	1.1726005342	0.7441642705	1.3506666073	0.4150235352	1.563018151	0.6140187662	0.4101690535	0.5063186346	0.586986617	0.673481636	0.9727111799	1.9099621916	0.4380902296	0.1792375619	0.7476448627	0.6516539049	1.0457454741	0.7037831274	0.5106463289	0.0086136267	0.9903732873	0.6608654399	0.372765176	1.2276335886	0.7913788293	0.7167063489	0.7721914731
6h	6h	0.6966793528	0.9257860344	0.5913694257	0.6828369889	0.2391534519	0.570539061	0.8224932791	2.4098494304	0.8611059574	0.7189328667	1.554966083	1.0261179742	0.4214475903	0.7125656684	1.1586417914	0.6734462451	0.9543540411	0.7407179823	0.7200000502	0.726657411	1.8403189862	0.9025731467	1.0522510634	0.7461953764	1.2765785136	0.9246215368	0.5863901048	0.6633010808	0.6893619853	0.6391975164	1.1634255501	1.4409157149	0.4690355394	0.8920943166	2.0412506815	1.0055401368	3.0680319092	0.8156057452	1.0522214918	0.1700557951	1.765644003	0.9054635947	0.2349410624	1.2441046648	0.7275755312	0.8323137581	1.166849217
6h	6h	0.490777375	0.7258325092	0.2758432574	0.5857276511	0.2450574667	0.4103032896	1.1669428336	0.4459228649	0.5667112294	0.6387981495	1.2583486286	0.7506838715	0.1289243225	0.3858458487	0.71979644	0.552955529	0.8912931789	0.6263556072	0.3024544327	0.5994828736	0.3400551813	0.6357118587	1.2159846949	0.4255533894	1.0291624289	0.6821730868	0.1403489703	0.5452639815	0.6511097983	0.517484411	1.0069026093	0.9027582358	0.3355494021	0.0989035089	0.4663317906	0.9419235085	0.3882046941	0.7997889889	0.3670074754	0.0949471296	1.4040481142	0.7431552915	0.3228867671	1.9676559996	0.8084001118	0.8417656606	0.3544256666
