sid	time	Ccl2	Ifnb1	Cd86	Met	Il28b	Tnfrsf1a	Il1b	Il17a	Cxcl5	Cxcr1	Ifnar1	Osmr	Tgfb1	Ifng	Ccl4	Ccl5	Ccr3	Il1rn	Il13	Tnfrsf1b	Ccl7	Osm	Cd69	Il10rb	Il2	Cd14	Cxcr2	Cxcl1	Tnf	Il10ra	Il10	Ccr2	Egf	Hgf	Ifna1	Ifnar2	Cxcl2	Mrc1	Ccr5	Ccl3	Il6	Actb	Il4	Egfr	Ccl8	Cxcl3	Il6st
1	0h	0.1003556957	0.4463208748	0.4402455335	0.916082043	33.1855969734	0.5228112115	1.0460940388	0.0153479465	11.7142152679	0.2809636269	0.8533932583	0.2129366116	0.6002078188	0.2840991704	0.2860151384	0.3843312571	0.473279046	0.2944293912	0.0019633584	0.5498058827	0.1240298301	0.2133157846	0.6357171669	0.5799947451	4.1472981216	0.1708046583	0.3923735163	0.0428480369	0.4831138382	0.6176296322	0.1598258314	0.1896076736	0.3868188875	0.6045697249	0.6131019727	0.9278476619	0.0590280057	0.7698034559	0.3387653812	0.2962801864	0.2239026347	0.6054759494	0.2319727747	0.7602516691	0.4426595781	0.09425581	0.6307841915
2	0h	0.2651288023	3.0115539806	0.7060369524	0.9415660269	18.3271018021	0.6507947676	0.585939152	0.0072038706	0.2246111976	2.2489036366	1.0205141502	0.4968246177	0.8158335439	4.3078614289	0.5352389359	1.3007319198	1.6108825262	0.2212562939	0.0009215422	1.0807756268	0.3357534865	0.4385292457	1.6211419933	0.8185371085	181.3872780887	0.1161627464	0.2690578508	0.1094526961	0.6291746899	0.9092554115	2.1567829167	0.4061322765	1.491481258	1.2971741525	3.1212844235	0.9058901036	0.0900179757	1.198815986	1.1270531892	0.5745744262	0.4757876977	0.6047936129	2.8140200376	1.73090455	2.6528712384	0.4419752013	0.8069620827
3	0h	0.1054820061	0.0540670758	0.4698218661	0.7184671355	101.9082930948	0.3890994957	0.2440387396	0.0281691791	0.0578967565	0.0153200984	0.771602102	0.0942365582	0.5902467438	0.6655557394	0.2162861183	0.2929085085	0.2604641918	0.0965183592	0.0036034915	0.828905603	0.0378451495	0.0447562313	0.4919103925	0.3993238359	29.6030522016	0.0615821944	0.0588608206	0.0241466334	0.1574281106	0.5520506429	0.2752512041	0.098070357	0.4479231082	0.559325955	0.0247584774	0.8030225802	0.0135164377	0.6783500933	0.4041096256	0.0968318207	0.109421241	0.7386116657	0.3592124291	0.8768508842	0.7637744063	0.1265916504	0.5570757559
4	0h	0.0450557363	0.2495428274	0.3817657351	0.6399614261	122.1589357272	0.3981577061	0.2019824819	0.0158573848	0.0081907138	0.2411638412	0.5783710933	0.1930137441	0.5998145482	0.3608750977	0.1763952239	0.3125091685	0.3665262271	0.1140558388	0.0020285274	0.6430487889	0.0695158898	0.0956342651	0.1926348946	0.4672399264	14.6410131749	0.0954320143	0.1723153209	0.0571733268	0.1685402202	0.5214281898	0.185455612	0.1281238202	0.3070584248	0.4599137852	0.3110199017	0.7186343605	0.016148141	0.9370891137	0.3480791256	0.1094782592	0.0766786826	0.4216135667	0.3774467156	1.1429867046	0.6497891012	0.0365772433	0.5349927012
5	0h	0.046607484	2.6927746785	0.4099533762	0.7211455099	59.6174518066	0.4622256043	0.3702740944	0.0154845717	0.0179772175	1.795846711	0.4888368779	0.183460107	0.548939881	0.2014463329	0.0885631459	0.2900391621	1.2657987462	0.1007741887	0.0019808359	0.5993825777	0.0229237971	0.10908146	0.4122571924	0.4721482227	4.3829600317	0.0925998165	0.2400448638	0.4644624618	0.2587112325	0.4867739279	0.1475958652	0.2144761343	0.4971187684	0.4630141238	3.2976866144	0.7130803269	0.0407096315	0.6582852095	0.4617837913	0.2312982111	0.1386145956	0.4602785504	0.2709975544	1.1540862462	0.0463769981	0.0868853261	0.5721315552
6	6h	0.1032293826	1.8188918702	0.445604573	0.4960250545	0.0041158496	0.9624443608	0.2806837104	0.0138878209	0.0335413162	1.25855881	0.7051158347	0.6639522254	0.5259839479	0.2009852944	0.2191855617	0.2902058779	1.0002712534	0.1359400072	0.0017765745	0.5608974286	0.1424071716	0.1495952632	0.2240747076	0.4993971301	8.2339553406	0.2087299357	0.2299135793	1.0891567595	0.1895197926	0.4161663533	0.1852284631	0.1746649711	0.6730903497	0.80897273	2.6754121137	0.7415538499	0.1787366498	0.9598937316	0.4550149876	0.2146618065	0.2006133003	0.6938841092	0.3102076472	1.9365552191	0.1096233913	0.0449653266	0.9734205366
7	6h	0.1732119736	0.5256692752	0.486921818	0.4173235106	0.0038514969	1.0383995774	0.2706623401	0.0129958344	0.0337908461	0.3051327331	0.6762884723	1.0202414503	0.4270587698	0.2428022366	0.4450083012	0.225783506	0.2553422349	0.3223451617	0.0016624687	0.4040773431	0.172041	0.2270219596	0.1751060713	0.4791852816	2.7650789522	0.249449112	0.3580808136	1.1861435218	0.2538721652	0.2561956901	0.3229580188	0.1355783045	0.4092962065	0.6688454318	0.6379514328	0.6775335313	0.3557212737	0.5895930286	0.2854782401	0.5432184541	0.2180932984	0.7127387426	0.2204910096	1.6408173813	0.0805995741	0.0711587684	1.01969065
8	6h	0.1518709738	0.4574396362	0.3195265496	0.5642585251	0.0036723176	0.9861691306	0.3022171955	0.0123912422	0.0529917769	0.2177732369	0.6209149907	0.6321415336	0.4320882565	0.1463823277	0.206991028	0.3723023527	0.2388957794	0.2005492025	0.0015851273	0.6884366112	0.1347614358	0.3941538176	0.1462444489	0.3485029153	6.5118154959	0.2646832945	0.5071622546	1.5581238309	0.1953457723	0.2915696673	0.3133713518	0.1258114826	0.6279633147	0.5306610384	0.3936086312	0.6905447097	0.9258548356	0.5921091623	0.2765430979	0.1051332341	0.1778935091	0.6297558206	0.1702609575	1.7527554317	0.0829687944	0.0659610006	0.8392792854
9	6h	0.2074305996	2.5083939119	0.67936652	0.6860082133	0.0063823954	1.2164204989	0.3861607678	0.0215356666	0.6523768344	2.1387032449	0.8583600384	0.99599792	0.5656906071	0.3198635369	0.4000109535	0.2488143537	1.4841334791	0.4888469883	0.0027549114	0.791438952	0.307551285	0.339801297	0.3180190395	0.4867839798	0.2304673161	0.3654016711	0.5975159875	2.3771285892	0.301946893	0.546055472	0.4122735722	0.2303260462	0.8939101034	0.5820924449	2.7622638777	0.6756759176	0.3799812975	0.805279353	0.4489414549	0.6349892537	0.4393281486	0.8089739767	0.0005574763	1.9414302195	0.1370604643	0.2220563905	1.0631249001
10	6h	0.1595106505	0.7463886692	0.4576377456	0.9557939167	0.0035465836	1.1027887987	0.3159152161	0.0119669867	0.2178686795	0.3794545055	0.7511738783	0.9706436428	0.4666347902	0.0042549753	0.279400325	0.3044445365	0.3600262507	0.2710032531	0.0015308552	0.4833833009	0.392075299	0.2470046254	0.2905672941	0.4686996479	0.2885715836	0.1934921885	0.3059682137	3.2549285404	0.2048124181	0.3897555509	0.3000465335	0.1874601199	0.5992380117	0.9212357844	0.4274912421	0.8255649422	0.6565744483	0.827098471	0.3208233692	0.3367270149	0.3285043913	0.7310945147	0.5468823303	1.6350304558	0.099591379	0.5271593414	1.0905838949
