sid	time	Pparg	Edn1	Birc5	Sparc	Col1a1	Col8a1	Igf1	Fasl	Bad	Tgfbr2	Rarres1	Lama1	Timp1	Nes	Bcl2l11	Pdgfb	Xiap	Notch3	Cdh1	Timp2	Wisp1	Bak1	Gdf2	Pde4a	Ctgf	Notch1	Tnc	Bax	Cdh2	Pde4b	Fn1	Smad7	Mki67	Prom1	Ch25h	Pde4d	Acta2	Pten	Tgfb2	Mmp10	Col4a3	Actb	Col3a1	Cyp2e1	Rps18	Smad6	Col6a6
1	0h	2.0271425333	0.7883299274	1.1786723065	1.0098834619	0.5607013429	2.5794208096	1.0974097073	2.9544344372	0.9934548328	0.9468756518	1.5329773809	2.7844555722	0.1905036324	1.9092715756	1.1819597599	0.8399713006	1.260675294	2.1580598261	1.0911680194	1.7665635218	3.1982302339	0.8606922003	1.5296529887	1.4359128001	0.8587868951	1.2728761546	1.3564090872	0.7041732201	1.290155654	1.7672116862	0.6618813179	1.8847628632	0.8583552504	3.9524293375	0.7424046891	1.3307852421	3.168643564	1.1006759793	0.7972824456	0.0003302856	2.0803000366	0.7550080344	1.0268543181	1.8008261325	0.8744480529	1.3356583492	2.2531089761
2	0h	0.748820096	0.8897251378	0.7331299989	0.8131051144	0.2128979366	1.1659153901	1.1186697242	0.9312638277	0.8121565849	0.739046963	1.2953787157	1.9381035673	0.0927638077	1.6948184474	0.8686501139	0.5251835964	1.1221574122	1.3196459619	0.987604383	1.003725541	1.9442861369	0.7910739867	1.7054775961	1.0470694559	0.5999630981	1.1245096729	0.5991768484	0.62386334	1.261007478	1.2521968727	0.7419085169	0.9462494383	0.4479425791	0.7683615939	0.5579816339	0.6148362522	1.5137080112	1.0753609251	0.5511109321	0.0002661558	1.1016194285	0.6540555808	0.5172459249	1.8714458653	0.7794678107	1.2522293993	0.6216047379
3	0h	0.5899400763	0.2458631461	0.3305758437	0.5759770995	0.1279550668	0.3642293067	0.9828579385	0.5150572211	0.5774196202	0.5540559699	1.243563348	1.0818734961	0.0371757188	0.7128681937	0.4504552756	0.2351124088	1.1729386638	0.584120097	0.6096113651	0.4816328347	0.5999760321	0.6810010169	0.854181145	0.6704214051	0.3233675588	0.6155206156	0.1758911881	0.6810250987	0.9223197904	0.5385021705	0.6441807889	0.4780139696	0.3110906891	0.131192048	0.0483263892	0.786262784	0.0753538817	0.9457513139	0.1128932191	0.0007559373	0.3654243934	0.8370425187	0.3844838052	1.8557979536	1.0703886158	0.7349659069	0.100369594
4	0h	0.5922852088	0.3792244056	0.3309177611	0.7173363018	0.5688160056	0.5136557165	1.1000742253	0.8787343509	0.5034825242	0.8344965507	0.8495804695	1.0174827089	0.0456675684	0.812889972	0.5321568594	0.3575338572	0.8495979697	0.9095652056	0.4594952823	0.6950870764	0.476539589	0.6447529914	1.1487536555	0.690271214	0.5631329967	0.5930296558	0.3231982879	0.4687565561	0.7704185677	0.4211910838	0.5543366536	0.521945911	0.2579454339	0.4470743655	0.0917547149	0.3757533791	0.3898207464	0.8061154443	0.3176249117	0.0003730755	0.5216061196	0.4578538799	0.8234822186	1.9293464686	0.6952831536	0.5841553889	0.4670183351
5	0h	0.492032865	0.2882347196	0.4902029858	0.677464361	0.4507800298	0.5859132608	0.80347768	0.2862693399	0.6516042206	0.6530227212	1.1569447994	0.9241860509	0.0782002706	0.5419680071	0.4740188182	0.2768940018	0.8574078585	0.6256494783	0.5116861624	0.7541837793	0.4624859755	0.5808830127	1.2948566265	0.9588243555	0.4638675269	0.5201404986	0.4232202668	0.5331066389	0.8394277794	0.6615044987	0.6332886322	0.4493208712	0.3940578121	0.2450885855	0.5088967344	0.4777254515	1.3692165004	0.8102077263	0.1860072624	0.0003716325	0.3327174382	0.4837310996	0.7285681339	1.3380834761	0.7264397294	0.5284643108	0.1817158763
6	6h	0.4672992283	0.4684061995	0.4879710505	0.7057064538	0.2815850826	0.1770420052	0.9117049401	0.4674842701	0.4264363732	0.5418893162	1.6587719457	1.0330604255	0.2168557403	0.2517096702	0.4550516738	0.3821612543	0.6597158578	0.3719762194	0.3927131198	0.6097644349	0.3341243727	0.5628008277	1.1682688593	0.3828293423	0.9844095129	0.77809874	0.2102640646	0.568588563	0.7057197917	0.2239653207	1.2285424224	0.5667591438	0.5901680008	0.0739102924	0.479113161	1.0148548441	0.9082502656	0.7245491813	0.2839986057	0.0023210327	0.321325437	0.6814180109	0.3832561983	1.3070814761	0.8107768554	0.7781514682	0.1875053484
7	6h	0.4044041411	0.5750632445	0.0758968924	0.515961713	0.1361900878	0.1530414176	0.9383028447	0.0812972088	0.4375958229	0.5286067851	1.2131524034	0.5913552241	0.1526662314	0.1693999468	0.4859393314	0.3592295744	0.6560138624	0.3092774272	0.3198623103	0.3452801776	0.3032316163	0.5135018573	1.0619513589	0.2290791642	0.7537958951	0.4723331421	0.090115229	0.493878085	0.433739162	0.3811105474	0.8437926622	0.451769858	0.1258655898	0.0549569617	0.3577161736	0.5960693066	0.2662128944	0.615602268	0.3027578225	0.0118043843	0.031710021	0.7122294374	0.1960642283	1.1954482696	0.7538040809	0.5933205055	0.1638601965
8	6h	0.4459683965	0.4273502782	0.2001745255	0.4527173338	0.2112135392	0.1046891222	1.0558695146	0.3864601684	0.5241652407	0.5978136181	2.0136058975	0.2962392757	0.2012374665	0.0915139817	0.373441901	0.2693963064	0.5739277409	0.2207528988	0.3247301384	0.3510191153	0.2406529434	0.534576445	0.6736305683	0.1772323748	0.7898618623	0.4287562709	0.1940591118	0.4297852366	0.4879893668	0.5074114153	0.8978159404	0.7950900286	0.1972472013	0.0476612605	0.3192779324	0.4529410076	0.2232069407	0.670492984	0.2252460242	0.0063546676	0.1862453721	0.5799391697	0.218290899	1.4499621563	0.7698441541	0.4548934267	0.1354033529
9	6h	0.4131289822	0.3412302263	0.1414690572	0.3933820126	0.1476049959	0.0489671656	0.9223958512	0.3802001505	0.5435779618	0.5091494741	1.2203146332	0.3693938555	0.239652144	0.2817928111	0.6342650298	0.4381404007	0.8303191928	0.2682620314	0.4190889922	0.3500463091	0.2958754625	0.6516313731	0.4905219845	0.3948502478	0.6271135767	0.7181104323	0.2259317418	0.5384990514	0.5692862998	0.4596544044	1.1485216685	0.5729151316	0.2042813251	0.2610652451	0.8950920468	0.7413104467	0.8830298291	0.8312673393	0.3479761679	0.0140734223	0.1058896301	0.8279124391	0.1411337439	1.4785632401	0.7745000107	0.5927999294	0.2495555435
10	6h	1.4661391911	2.1231109777	1.9060963804	1.1233005858	0.4539428478	4.8795190124	1.0886201374	0.2703917011	1.285869234	1.0291995958	1.9477942097	3.4716755138	0.9560014663	1.9979297297	1.4809739858	1.4642668004	1.1739474658	3.6381617351	0.8370359929	2.0663826216	5.0397379599	1.1011316924	2.1281429701	1.4165543427	2.6958015543	1.3525195766	1.558832992	0.7580440978	1.0143121851	1.0184119863	1.0864868329	2.0421132113	1.1501992758	2.6354155025	2.5616341051	1.7842855927	3.2636929059	0.8596589068	2.87733834	0.0007337443	10.1108575685	0.8859367453	0.6543983052	1.4462628622	0.8153214787	1.6241640306	4.5998016107
